Closest Location,Date,No. of Cases,precipIntensity,precipIntensityMax,precipIntensityMaxTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,humidity
Bukit Panjang,27/05/2019,2.0,0.0088,0.0356,1557737700,90.05,1557723660,79.71,1557776820,0.82
Bukit Panjang,28/01/2019,20.0,0.0178,0.0755,1547445600,86.96,1547437560,75.05,1547505720,0.87
Bukit Panjang,28/06/2019,13.0,0.0034,0.0218,1560460080,88.79,1560495420,79.34,1560545880,0.85
Bukit Panjang,29/01/2019,24.0,0.0042,0.0367,1547532000,88.84,1547537280,75.98,1547592840,0.83
Bukit Timah,03/06/2019,2.0,0.0002,0.0005,1558346880,90.76,1558328280,80.32,1558382040,0.81
Bukit Timah,19/06/2019,2.0,0.005,0.0239,1559682000,90.16,1559710200,78.98,1559774700,0.82
Buona Vista,02/07/2019,2.0,0.0155,0.049,1560812460,84.59,1560830640,79.98,1560888480,0.88
Buona Vista,04/01/2019,2.0,0.0105,0.04,1545382440,89.5,1545368280,77.75,1545428940,0.86
Buona Vista,07/01/2019,1.0,0.0005,0.0029,1545663600,89.31,1545634380,77.19,1545681300,0.79
Buona Vista,07/06/2019,7.0,0.0011,0.0043,1558644780,91.18,1558680960,79.49,1558727580,0.79
Buona Vista,10/05/2019,2.0,0.036,0.0746,1556265840,88.57,1556252700,78.48,1556307660,0.85
Buona Vista,10/06/2019,7.0,0.0073,0.0342,1558969200,91.54,1558933680,80.45,1558986240,0.81
Buona Vista,13/05/2019,2.0,0.0022,0.0091,1556537400,92.68,1556523000,80.65,1556567760,0.81
Buona Vista,14/06/2019,12.0,0.0142,0.0833,1559250060,89.03,1559279040,79.45,1559342400,0.83
Buona Vista,17/05/2019,2.0,0.0034,0.0155,1556874000,92.66,1556859600,81.52,1556913120,0.8
Buona Vista,19/06/2019,40.0,0.0047,0.0266,1559682000,90.13,1559710260,79.0,1559774820,0.81
Buona Vista,21/06/2019,46.0,0.0139,0.0735,1559865360,85.53,1559893980,79.37,1559937120,0.86
Buona Vista,25/01/2019,1.0,0.0002,0.0011,1547153820,89.01,1547183580,76.21,1547246340,0.81
Buona Vista,28/01/2019,1.0,0.0181,0.0729,1547445600,87.59,1547439300,76.25,1547505660,0.85
Buona Vista,28/06/2019,5.0,0.0039,0.0262,1560460080,88.98,1560494880,80.49,1560545220,0.84
Buona Vista,29/01/2019,1.0,0.0035,0.0303,1547532000,88.63,1547535180,77.04,1547592540,0.81
Chai Chee,02/07/2019,172.0,0.0172,0.0649,1560815640,85.9,1560833880,79.66,1560887520,0.87
Chai Chee,03/04/2019,8.0,0.0002,0.0026,1553094000,91.73,1553058720,78.94,1553118780,0.76
Chai Chee,03/05/2019,38.0,0.0119,0.0485,1555685760,92.4,1555650120,80.43,1555704960,0.77
Chai Chee,03/06/2019,71.0,0.0002,0.0008,1558344720,90.79,1558328340,80.71,1558381980,0.8
Chai Chee,04/01/2019,93.0,0.0153,0.0549,1545382440,89.17,1545367980,78.3,1545430080,0.85
Chai Chee,05/04/2019,11.0,0.0029,0.0151,1553234460,91.14,1553236920,78.97,1553291760,0.79
Chai Chee,06/05/2019,36.0,0.0151,0.0312,1555933980,91.26,1555907160,80.03,1555963680,0.8
Chai Chee,07/01/2019,108.0,0.0008,0.0041,1545663600,89.51,1545631980,78.06,1545682620,0.79
Chai Chee,07/06/2019,281.0,0.0009,0.0034,1558677240,91.09,1558680660,80.48,1558728420,0.78
Chai Chee,09/04/2019,6.0,0.0043,0.0111,1553549940,91.45,1553580240,79.2,1553639400,0.79
Chai Chee,10/05/2019,88.0,0.0452,0.0941,1556265120,86.26,1556253480,78.78,1556307720,0.87
