Location,No. of Cases,Date,Latitude,Longtitude,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Yishun Avenue 4 (Blk 508B),1,04/01/2019,1.4142876,103.8393106,Khatib,0,0,0,0,28.9,33.1,25.9,7.6,30.2
Yishun Street 81 (Blk 868),1,04/01/2019,1.4137295,103.8376122,Khatib,0,0,0,0,28.9,33.1,25.9,7.6,30.2
Yuk Tong Avenue,2,04/01/2019,1.3447663,103.7728106,Clementi,0,0,0,0,29.2,33.6,26.2,6.8,23.8
Bedok Reservoir Road (Blk 122),1,07/01/2019,1.3320522,103.9106380,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 124),1,07/01/2019,1.3327139,103.9100942,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 128),3,07/01/2019,1.3334379,103.9114536,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 129),1,07/01/2019,1.3340360,103.9122180,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 130),2,07/01/2019,1.3335058,103.9123599,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 131),3,07/01/2019,1.3331446,103.9115443,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 132),2,07/01/2019,1.3329230,103.9119068,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 134),2,07/01/2019,1.3329178,103.9128130,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 136),14,07/01/2019,1.3335538,103.9135607,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 137),3,07/01/2019,1.3337227,103.9128130,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 138),2,07/01/2019,1.3345261,103.9130849,Chai Chee,0,0,0,0,—,—,—,—,—
