Location,No. of Cases,Date,Coordinates,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
"Woodlands Ring Road (Blk 628B), Singapore",1,15-01-18,"1.4341688, 103.8005255",Admiralty ,0.6,0.4,0.4,0.6,24.5,27.3,22.6,10.8,33.8
"Jalan Leban, Singapore",3,15-01-18,"1.3732041, 103.8307393",Upper Thomson ,—,—,—,—,—,—,—,—,—
"Tampines Street 44 (Blk 468), Singapore",1,15-01-18,"1.3604550, 103.9550780",Pasir Ris (Central) ,1.2,0.6,1,1,—,—,—,—,—
"Tampines Street 44 (Blk 469), Singapore",1,15-01-18,"1.3603414, 103.9546897",Pasir Ris (Central) ,1.2,0.6,1,1,—,—,—,—,—
"Tampines Street 44 (Blk 472), Singapore",1,15-01-18,"1.3598359, 103.9535112",Pasir Ris (Central) ,1.2,0.6,1,1,—,—,—,—,—
"Bukit Batok Street 21 (Blk 206), Singapore",1,15-01-18,"1.3466780, 103.7493299",Jurong (North) ,—,—,—,—,—,—,—,—,—
"Bukit Batok Street 21 (Blk 208), Singapore",1,15-01-18,"1.3458934, 103.7488545",Jurong (North) ,—,—,—,—,—,—,—,—,—
"Canberra Crescent, Singapore",1,15-01-18,"1.4451794, 103.8308611",Yishun ,—,—,—,—,—,—,—,—,—
"Canberra Walk (Blk 115C), Singapore",1,15-01-18,"1.4460315, 103.8287811",Yishun ,—,—,—,—,—,—,—,—,—
"Lorong G Telok Kurau, Singapore",1,15-01-18,"1.3171163, 103.9101586",Tanjong Katong ,0.8,0.4,0.6,0.6,—,—,—,—,—
"Lorong G Telok Kurau (Palm Vista), Singapore",1,15-01-18,"1.3171183, 103.9096419",Tanjong Katong ,0.8,0.4,0.6,0.6,—,—,—,—,—
"Tampines Street 82 (Blk 842C), Singapore",1,15-01-18,"1.3519531, 103.9370129",Simei ,1,0.5,1,1,—,—,—,—,—
