Location,No. of Cases,Date
Bedok North Street 3 (Blk 536 ),19,21-09-18
Bedok North Street 3 (Blk 537 ),5,21-09-18
Bedok North Street 3 (Blk 540 ),1,21-09-18
Bedok North Street 3 (Blk 541 ),3,21-09-18
Bedok North Street 3 (Blk 556 ),7,21-09-18
Bedok North Street 3 (Blk 557 ),1,21-09-18
Cashew Crescent,15,21-09-18
Cashew Link,1,21-09-18
Chestnut Drive,1,21-09-18
Bukit Batok West Avenue 2,2,21-09-18
Bukit Batok West Avenue 2 (B lk 420),1,21-09-18
Jurong West Street 64 (Bl k 678C),2,21-09-18
Jurong West Street 65 (Bl k 670A),1,21-09-18
Jurong West Street 91 (Bl k 938),1,25-09-18
Jurong West Street 91 (Bl k 940),1,25-09-18
Jurong West Street 91 (Bl k 943),5,25-09-18
Jurong West Street 91 (Bl k 944),1,25-09-18
Jurong West Street 91 (Bl k 945),3,25-09-18
Jurong West Street 91 (Bl k 946),7,25-09-18
Jurong West Street 91 (Bl k 947),16,25-09-18
Jurong West Street 91 (Bl k 948),2,25-09-18
Jurong West Street 91 (Bl k 949),6,25-09-18
Jurong West Street 91 (Bl k 952),4,25-09-18
Jurong West Street 92 (Bl k 920),1,25-09-18
Jurong West Street 92 (Bl k 925),1,25-09-18
Jurong West Street 92 (Bl k 928),1,25-09-18
Bedok North Street 3 (Blk 533),3,25-09-18
Bedok North Street 3 (Blk 535),4,25-09-18
Bedok North Street 3 (Blk 536),19,25-09-18
Bedok North Street 3 (Blk 537),7,25-09-18
Bedok North Street 3 (Blk 540),1,25-09-18
Bedok North Street 3 (Blk 541),3,25-09-18
Bedok North Street 3 (Blk 556),7,25-09-18
Bedok North Street 3 (Blk 557),1,25-09-18
Bukit Batok West Avenue 2,2,25-09-18
Bukit Batok West Avenue 2 (B lk 420),1,25-09-18
Jurong West Street 64 (Bl k 678C),2,25-09-18
Jurong West Street 65 (Bl k 670A),1,25-09-18
Jurong West Street 91 (Bl k 933),5,28-09-18
Jurong West Street 91 (Bl k 934),1,28-09-18
Jurong West Street 91 (Bl k 938),1,28-09-18
Jurong West Street 91 (Bl k 939),1,28-09-18
Jurong West Street 91 (Bl k 940),1,28-09-18
Jurong West Street 91 (Bl k 942),1,28-09-18
Jurong West Street 91 (Bl k 943),5,28-09-18
Jurong West Street 91 (Bl k 944),1,28-09-18
Jurong West Street 91 (Bl k 945),3,28-09-18
Jurong West Street 91 (Bl k 946),7,28-09-18
Jurong West Street 91 (Bl k 947),16,28-09-18
Jurong West Street 91 (Bl k 948),2,28-09-18
Jurong West Street 91 (Bl k 949),6,28-09-18
Jurong West Street 91 (Bl k 950),22,28-09-18
Jurong West Street 91 (Bl k 952),5,28-09-18
Jurong West Street 92 (Bl k 920),1,28-09-18
Jurong West Street 92 (Bl k 925),1,28-09-18
Jurong West Street 92 (Bl k 928),1,28-09-18
Jurong West Street 93 (Bl k 966),1,28-09-18
Bedok North Street 3 (Blk 533 ),3,28-09-18
Bedok North Street 3 (Blk 534 ),3,28-09-18
Bedok North Street 3 (Blk 535 ),5,28-09-18
Bedok North Street 3 (Blk 536 ),19,28-09-18
Bedok North Street 3 (Blk 537 ),8,28-09-18
Bedok North Street 3 (Blk 540 ),1,28-09-18
Bedok North Street 3 (Blk 541 ),3,28-09-18
Bedok North Street 3 (Blk 556 ),7,28-09-18
Bedok North Street 3 (Blk 557 ),1,28-09-18
Chestnut Drive,4,28-09-18
Bukit Batok West Avenue 2,2,28-09-18
Bukit Batok West Avenue 2 (B lk 420),1,28-09-18
Jalan Mutiara,1,28-09-18
Jalan Mutiara (Mutiara View),2,28-09-18
Jurong West Street 91 (Bl k 905),1,28-09-18
Jurong West Street 91 (Bl k 910),1,28-09-18
Marine Parade Road (Lagu na Park),2,28-09-18
Jurong West Street 91 (Bl k 933),5,01-10-18
Jurong West Street 91 (Bl k 934),1,01-10-18
Jurong West Street 91 (Bl k 938),1,01-10-18
Jurong West Street 91 (Bl k 939),2,01-10-18
Jurong West Street 91 (Bl k 940),1,01-10-18
Jurong West Street 91 (Bl k 942),1,01-10-18
Jurong West Street 91 (Bl k 943),5,01-10-18
Jurong West Street 91 (Bl k 944),1,01-10-18
Jurong West Street 91 (Bl k 945),3,01-10-18
Jurong West Street 91 (Bl k 946),7,01-10-18
Jurong West Street 91 (Bl k 947),16,01-10-18
Jurong West Street 91 (Bl k 948),2,01-10-18
Jurong West Street 91 (Bl k 949),6,01-10-18
Jurong West Street 91 (Bl k 950),22,01-10-18
Jurong West Street 91 (Bl k 952),5,01-10-18
Jurong West Street 92 (Bl k 920),1,01-10-18
Jurong West Street 92 (Bl k 925),1,01-10-18
Jurong West Street 92 (Bl k 928),1,01-10-18
Jurong West Street 93 (Bl k 966),1,01-10-18
Bedok North Street 3 (Blk 533 ),3,01-10-18
Bedok North Street 3 (Blk 534 ),3,01-10-18
Bedok North Street 3 (Blk 535 ),5,01-10-18
Bedok North Street 3 (Blk 536 ),19,01-10-18
Bedok North Street 3 (Blk 537 ),8,01-10-18
Bedok North Street 3 (Blk 540 ),1,01-10-18
Bedok North Street 3 (Blk 541 ),3,01-10-18
Bedok North Street 3 (Blk 556 ),7,01-10-18
Bedok North Street 3 (Blk 557 ),1,01-10-18
Chestnut Drive,5,01-10-18
Jalan Mutiara,1,01-10-18
Jalan Mutiara (Mutiara View),2,01-10-18
Jurong West Street 91 (Bl k 905),1,01-10-18
Jurong West Street 91 (Bl k 910),1,01-10-18
Marine Parade Road (Lagu na Park),2,01-10-18
Jurong West Street 91 (Blk 933),5,05-10-18
Jurong West Street 91 (Blk 934),1,05-10-18
Jurong West Street 91 (Blk 938),2,05-10-18
Jurong West Street 91 (Blk 939),2,05-10-18
Jurong West Street 91 (Blk 940),1,05-10-18
Jurong West Street 91 (Blk 941),1,05-10-18
Jurong West Street 91 (Blk 942),2,05-10-18
Jurong West Street 91 (Blk 943),5,05-10-18
Jurong West Street 91 (Blk 944),1,05-10-18
Jurong West Street 91 (Blk 945),3,05-10-18
Jurong West Street 91 (Blk 946),7,05-10-18
Jurong West Street 91 (Blk 947),16,05-10-18
Jurong West Street 91 (Blk 948),2,05-10-18
Jurong West Street 91 (Blk 949),6,05-10-18
Jurong West Street 91 (Blk 950),23,05-10-18
Jurong West Street 91 (Blk 952),7,05-10-18
Jurong West Street 92 (Blk 920),1,05-10-18
Jurong West Street 92 (Blk 925),1,05-10-18
Jurong West Street 92 (Blk 928),1,05-10-18
Jurong West Street 93 (Blk 966),1,05-10-18
Yunnan Crescent,2,05-10-18
Bedok North Avenue 1 (Blk 549),2,05-10-18
Bedok North Street 3 (Blk 533 ),4,05-10-18
Bedok North Street 3 (Blk 534 ),3,05-10-18
Bedok North Street 3 (Blk 535 ),5,05-10-18
Bedok North Street 3 (Blk 536 ),21,05-10-18
Bedok North Street 3 (Blk 537 ),9,05-10-18
Bedok North Street 3 (Blk 539 ),2,05-10-18
Bedok North Street 3 (Blk 540 ),1,05-10-18
Bedok North Street 3 (Blk 541 ),4,05-10-18
Bedok North Street 3 (Blk 547 ),1,05-10-18
Bedok North Street 3 (Blk 556 ),7,05-10-18
Bedok North Street 3 (Blk 557 ),1,05-10-18
Chestnut Drive,5,05-10-18
Tampines Street 12 (Blk 141),1,05-10-18
Tampines Street 12 (Blk 159),2,05-10-18
Tampines Street 12 (Blk 164),1,05-10-18
Circuit Road (Blk 6 2),1,05-10-18
Circuit Road (Blk 6 6),2,05-10-18
Everitt Road,2,05-10-18
Tembeling Road,1,05-10-18
Jalan Mutiara (M5),1,05-10-18
Jalan Mutiara (Mutiara View),2,05-10-18
Jurong West Street 81 Blk 839),2,05-10-18
Pasir Ris Street 12 (Blk 103),1,05-10-18
Pasir Ris Street 12 (Blk 107),1,05-10-18
Yuan Ching Road (Blk 138C),1,05-10-18
Yung Loh Road (Blk 1 58),1,05-10-18
Jurong West Street 91 (Blk 933),5,08-10-18
Jurong West Street 91 (Blk 934),1,08-10-18
Jurong West Street 91 (Blk 938),2,08-10-18
Jurong West Street 91 (Blk 939),2,08-10-18
Jurong West Street 91 (Blk 940),1,08-10-18
Jurong West Street 91 (Blk 941),1,08-10-18
Jurong West Street 91 (Blk 942),2,08-10-18
Jurong West Street 91 (Blk 943),5,08-10-18
Jurong West Street 91 (Blk 944),1,08-10-18
Jurong West Street 91 (Blk 945),3,08-10-18
Jurong West Street 91 (Blk 946),7,08-10-18
Jurong West Street 91 (Blk 947),16,08-10-18
Jurong West Street 91 (Blk 948),2,08-10-18
Jurong West Street 91 (Blk 949),6,08-10-18
Jurong West Street 91 (Blk 950),23,08-10-18
Jurong West Street 91 (Blk 952),7,08-10-18
Jurong West Street 92 (Blk 920),1,08-10-18
Jurong West Street 92 (Blk 922),1,08-10-18
Jurong West Street 92 (Blk 925),1,08-10-18
Jurong West Street 92 (Blk 928),1,08-10-18
Jurong West Street 93 (Blk 966),1,08-10-18
Yunnan Crescent,3,08-10-18
Bedok North Avenue 1 (Blk 549),2,08-10-18
Bedok North Street 3 (Blk 533 ),4,08-10-18
Bedok North Street 3 (Blk 534 ),3,08-10-18
Bedok North Street 3 (Blk 535 ),5,08-10-18
Bedok North Street 3 (Blk 536 ),21,08-10-18
Bedok North Street 3 (Blk 537 ),10,08-10-18
Bedok North Street 3 (Blk 539 ),2,08-10-18
Bedok North Street 3 (Blk 540 ),1,08-10-18
Bedok North Street 3 (Blk 541 ),4,08-10-18
Bedok North Street 3 (Blk 547 ),1,08-10-18
Bedok North Street 3 (Blk 556 ),7,08-10-18
Bedok North Street 3 (Blk 557 ),1,08-10-18
Tampines Street 12 (Blk 141),3,08-10-18
Tampines Street 12 (Blk 159),2,08-10-18
Tampines Street 12 (Blk 164),1,08-10-18
Chestnut Drive,5,08-10-18
Circuit Road (Blk 6 2),1,08-10-18
Circuit Road (Blk 6 6),2,08-10-18
Everitt Road,2,08-10-18
Tembeling Road,1,08-10-18
Chun Tin Road,1,08-10-18
Lorong Pisang Emas,1,08-10-18
Joo Chiat Road,1,08-10-18
Onan Road,1,08-10-18
Jurong West Street 81 Blk 839),2,08-10-18
Pasir Ris Street 12 (Blk 103),1,08-10-18
Pasir Ris Street 12 (Blk 107),1,08-10-18
Yuan Ching Road (Blk 138C),1,08-10-18
Yung Loh Road (Blk 1 58),1,08-10-18
Jurong West Street 91 (Bl k 933),5,12-10-18
Jurong West Street 91 (Bl k 934),1,12-10-18
Jurong West Street 91 (Bl k 938),2,12-10-18
Jurong West Street 91 (Bl k 939),2,12-10-18
Jurong West Street 91 (Bl k 940),1,12-10-18
Jurong West Street 91 (Bl k 941),1,12-10-18
Jurong West Street 91 (Bl k 942),2,12-10-18
Jurong West Street 91 (Bl k 943),5,12-10-18
Jurong West Street 91 (Bl k 944),1,12-10-18
Jurong West Street 91 (Bl k 945),3,12-10-18
Jurong West Street 91 (Bl k 946),7,12-10-18
Jurong West Street 91 (Bl k 947),16,12-10-18
Jurong West Street 91 (Bl k 948),2,12-10-18
Jurong West Street 91 (Bl k 949),6,12-10-18
Jurong West Street 91 (Bl k 950),23,12-10-18
Jurong West Street 91 (Bl k 952),7,12-10-18
Jurong West Street 92 (Bl k 920),1,12-10-18
Jurong West Street 92 (Bl k 922),1,12-10-18
Jurong West Street 92 (Bl k 925),1,12-10-18
Jurong West Street 92 (Bl k 928),1,12-10-18
Jurong West Street 93 (Bl k 966),1,12-10-18
Yunnan Crescent,3,12-10-18
Bedok North Avenue 1 (Blk 549),2,12-10-18
Bedok North Street 3 (B lk 533),4,12-10-18
Bedok North Street 3 (B lk 534),3,12-10-18
Bedok North Street 3 (B lk 535),5,12-10-18
Bedok North Street 3 (B lk 536),21,12-10-18
Bedok North Street 3 (B lk 537),10,12-10-18
Bedok North Street 3 (B lk 539),2,12-10-18
Bedok North Street 3 (B lk 540),1,12-10-18
Bedok North Street 3 (B lk 541),4,12-10-18
Bedok North Street 3 (B lk 544),1,12-10-18
Bedok North Street 3 (B lk 547),1,12-10-18
Bedok North Street 3 (B lk 556),7,12-10-18
Bedok North Street 3 (B lk 557),1,12-10-18
Tampines Street 12 (Blk 141),3,12-10-18
Tampines Street 12 (Blk 159),2,12-10-18
Tampines Street 12 (Blk 164),1,12-10-18
Cantonment Road (Blk 1 D),1,12-10-18
Cantonment Road (Blk 1 G),2,12-10-18
Tanjong Pagar Plaza (Blk 1),1,12-10-18
Henderson Road (Blk 9 1),3,12-10-18
Henderson Road (Blk 9 2),1,12-10-18
Balestier Road,1,12-10-18
Jalan Ampas,1,12-10-18
Kim Keat Road (Rega l Court),1,12-10-18
Jurong West Street 81 (Bl k 839),3,12-10-18
Bukit Batok West Avenue 8 (Blk 175),1,12-10-18
Bukit Batok West Avenue 8 (Blk 178),1,12-10-18
Chun Tin Road,1,12-10-18
Lorong Pisang Emas,1,12-10-18
Pasir Ris Street 12 (Blk 103),1,12-10-18
Pasir Ris Street 12 (Blk 107),1,12-10-18
Yishun Ring Road (Blk 2 53),1,12-10-18
Yishun Ring Road (Blk 2 57),1,12-10-18
Jurong West Street 91 (Bl k 933),5,15-10-18
Jurong West Street 91 (Bl k 934),1,15-10-18
Jurong West Street 91 (Bl k 938),2,15-10-18
Jurong West Street 91 (Bl k 939),2,15-10-18
Jurong West Street 91 (Bl k 940),1,15-10-18
Jurong West Street 91 (Bl k 941),1,15-10-18
Jurong West Street 91 (Bl k 942),2,15-10-18
Jurong West Street 91 (Bl k 943),5,15-10-18
Jurong West Street 91 (Bl k 944),1,15-10-18
Jurong West Street 91 (Bl k 945),3,15-10-18
Jurong West Street 91 (Bl k 946),7,15-10-18
Jurong West Street 91 (Bl k 947),16,15-10-18
Jurong West Street 91 (Bl k 948),2,15-10-18
Jurong West Street 91 (Bl k 949),6,15-10-18
Jurong West Street 91 (Bl k 950),23,15-10-18
Jurong West Street 91 (Bl k 952),7,15-10-18
Jurong West Street 92 (Bl k 920),1,15-10-18
Jurong West Street 92 (Bl k 922),1,15-10-18
Jurong West Street 92 (Bl k 925),1,15-10-18
Jurong West Street 92 (Bl k 928),1,15-10-18
Jurong West Street 93 (Bl k 966),1,15-10-18
Yunnan Crescent,3,15-10-18
Bedok North Avenue 1 (Blk 549),2,15-10-18
Bedok North Street 3 (B lk 533),4,15-10-18
Bedok North Street 3 (B lk 534),3,15-10-18
Bedok North Street 3 (B lk 535),5,15-10-18
Bedok North Street 3 (B lk 536),21,15-10-18
Bedok North Street 3 (B lk 537),10,15-10-18
Bedok North Street 3 (B lk 539),3,15-10-18
Bedok North Street 3 (B lk 540),1,15-10-18
Bedok North Street 3 (B lk 541),4,15-10-18
Bedok North Street 3 (B lk 544),1,15-10-18
Bedok North Street 3 (B lk 547),1,15-10-18
Bedok North Street 3 (B lk 556),7,15-10-18
Bedok North Street 3 (B lk 557),1,15-10-18
Tampines Street 12 (Blk 141),3,15-10-18
Tampines Street 12 (Blk 159),2,15-10-18
Tampines Street 12 (Blk 164),1,15-10-18
Cantonment Road (Blk 1 D),1,15-10-18
Cantonment Road (Blk 1 G),2,15-10-18
Tanjong Pagar Plaza (Blk 1),1,15-10-18
Henderson Road (Blk 9 1),3,15-10-18
Henderson Road (Blk 9 2),1,15-10-18
Balestier Road,1,15-10-18
Jalan Ampas,1,15-10-18
Kim Keat Road (Rega l Court),1,15-10-18
Jurong West Street 81 (Bl k 839),3,15-10-18
Marine Parade Road (Lagu na Park),3,15-10-18
Bukit Batok West Avenue 8 (Blk 175),1,15-10-18
Bukit Batok West Avenue 8 (Blk 178),1,15-10-18
Chun Tin Road,1,15-10-18
Lorong Pisang Emas,1,15-10-18
Pasir Ris Street 12 (Blk 103),1,15-10-18
Pasir Ris Street 12 (Blk 107),1,15-10-18
Yishun Ring Road (Blk 2 53),1,15-10-18
Yishun Ring Road (Blk 2 57),1,15-10-18
Bedok North Avenue 1 (Blk 549),2,19-10-18
Bedok North Street 3 (B lk 533),4,19-10-18
Bedok North Street 3 (B lk 534),3,19-10-18
Bedok North Street 3 (B lk 535),5,19-10-18
Bedok North Street 3 (B lk 536),21,19-10-18
Bedok North Street 3 (B lk 537),10,19-10-18
Bedok North Street 3 (B lk 539),3,19-10-18
Bedok North Street 3 (B lk 540),1,19-10-18
Bedok North Street 3 (B lk 541),4,19-10-18
Bedok North Street 3 (B lk 544),1,19-10-18
Bedok North Street 3 (B lk 547),2,19-10-18
Bedok North Street 3 (B lk 556),7,19-10-18
Bedok North Street 3 (B lk 557),1,19-10-18
Tampines Street 12 (Blk 141),4,19-10-18
Tampines Street 12 (Blk 144),2,19-10-18
Tampines Street 12 (Blk 159),3,19-10-18
Tampines Street 12 (Blk 160),1,19-10-18
Tampines Street 12 (Blk 164),1,19-10-18
Tampines Street 21 (Blk 247),1,19-10-18
Balestier Road,2,19-10-18
Balestier Road (Twin Heights),1,19-10-18
Jalan Ampas,1,19-10-18
Kim Keat Road (Rega l Court),1,19-10-18
Balestier Road,1,19-10-18
Kim Keat Close,1,19-10-18
Kim Keat Road,1,19-10-18
Kim Keat Road (Kim K eat House),1,19-10-18
Cantonment Road (Blk 1 G),2,19-10-18
Tanjong Pagar Plaza (Blk 1),1,19-10-18
Tanjong Pagar Plaza (Blk 3),1,19-10-18
Henderson Road (Blk 9 1),3,19-10-18
Henderson Road (Blk 9 2),1,19-10-18
Marine Parade Road (Lagu na Park),4,19-10-18
Jurong West Street 41 (Bl k 478),1,19-10-18
Jurong West Street 41 (Th e Lakeshore),2,19-10-18
Bedok Reservoir Road (Blk 1 32),1,19-10-18
Bedok Reservoir Road,1,19-10-18
Bishan Street 13 (Blk 153),1,19-10-18
Bishan Street 13 (Blk 157),1,19-10-18
Bedok North Avenue 1 (Blk 549),2,22-10-18
Bedok North Street 3 (B lk 533),4,22-10-18
Bedok North Street 3 (B lk 534),3,22-10-18
Bedok North Street 3 (B lk 535),5,22-10-18
Bedok North Street 3 (B lk 536),21,22-10-18
Bedok North Street 3 (B lk 537),10,22-10-18
Bedok North Street 3 (B lk 539),3,22-10-18
Bedok North Street 3 (B lk 540),1,22-10-18
Bedok North Street 3 (B lk 541),4,22-10-18
Bedok North Street 3 (B lk 544),1,22-10-18
Bedok North Street 3 (B lk 547),2,22-10-18
Bedok North Street 3 (B lk 556),7,22-10-18
Bedok North Street 3 (B lk 557),1,22-10-18
Tampines Street 12 (Blk 141),4,22-10-18
Tampines Street 12 (Blk 144),3,22-10-18
Tampines Street 12 (Blk 159),3,22-10-18
Tampines Street 12 (Blk 160),1,22-10-18
Tampines Street 12 (Blk 164),1,22-10-18
Tampines Street 21 (Blk 247),1,22-10-18
Balestier Road,2,22-10-18
Balestier Road (Twin Heights),1,22-10-18
Jalan Ampas,1,22-10-18
Jalan Ampas (The Viridian),1,22-10-18
Kim Keat Road (Rega l Court),1,22-10-18
Henderson Road (Blk 9 1),3,22-10-18
Henderson Road (Blk 9 2),1,22-10-18
Redhill Lane (Blk 8 2),2,22-10-18
Balestier Road,1,22-10-18
Kim Keat Close,1,22-10-18
Kim Keat Road,1,22-10-18
Kim Keat Road (Kim K eat House),1,22-10-18
Cantonment Road (Blk 1 G),2,22-10-18
Tanjong Pagar Plaza (Blk 1),1,22-10-18
Tanjong Pagar Plaza (Blk 3),1,22-10-18
Marine Parade Road (Lagu na Park),4,22-10-18
Jurong West Street 41 (Bl k 478),1,22-10-18
Jurong West Street 41 (Th e Lakeshore),2,22-10-18
Bedok Reservoir Road (Blk 1 32),1,22-10-18
Bedok Reservoir Road,1,22-10-18
Bishan Street 13 (Blk 153),1,22-10-18
Bishan Street 13 (Blk 157),1,22-10-18
Gangsa Road (Blk 1 66),2,22-10-18
Tampines Street 12 (Blk 140),1,26-10-18
Tampines Street 12 (Blk 141),5,26-10-18
Tampines Street 12 (Blk 144),3,26-10-18
Tampines Street 12 (Blk 159),3,26-10-18
Tampines Street 12 (Blk 160),1,26-10-18
Tampines Street 12 (Blk 164),1,26-10-18
Tampines Street 21 (Blk 247),1,26-10-18
Balestier Road,2,26-10-18
Balestier Road (Twin Heights),1,26-10-18
Jalan Ampas,2,26-10-18
Jalan Ampas (The Viridian),2,26-10-18
Kim Keat Road (Rega l Court),1,26-10-18
Henderson Road (Blk 9 1),3,26-10-18
Henderson Road (Blk 9 2),1,26-10-18
Redhill Lane (Blk 82),2,26-10-18
Bendemeer Road,1,26-10-18
Bendemeer Road (Blk 4 3),1,26-10-18
Bendemeer Road (Blk 4 4),1,26-10-18
Gangsa Road (Blk 166),2,26-10-18
Petir Road (Blk 151),1,26-10-18
Pasir Ris Street 12 (Blk 103),1,26-10-18
Pasir Ris Street 12 (Blk 104),1,26-10-18
Pasir Ris Street 12 (Blk 105),1,26-10-18
Bedok Reservoir Road,1,26-10-18
Bedok Reservoir Road (Blk 1 32),1,26-10-18
Hazel Park Terrace (Hazel Park Condominium),2,26-10-18
Lorong 20 Geylang,1,26-10-18
Lorong 20 Geylang (#1 Suite s),1,26-10-18
Tampines Street 12 (Blk 140),1,29-10-18
Tampines Street 12 (Blk 141),5,29-10-18
Tampines Street 12 (Blk 144),3,29-10-18
Tampines Street 12 (Blk 159),3,29-10-18
Tampines Street 12 (Blk 160),1,29-10-18
Tampines Street 12 (Blk 164),1,29-10-18
Tampines Street 21 (Blk 247),1,29-10-18
Balestier Road,2,29-10-18
Balestier Road (Twin Heights),1,29-10-18
Jalan Ampas,2,29-10-18
Jalan Ampas (The Viridian),2,29-10-18
Kim Keat Road (Rega l Court),1,29-10-18
Henderson Road (Blk 9 1),3,29-10-18
Henderson Road (Blk 9 2),1,29-10-18
Redhill Lane (Blk 82),2,29-10-18
Bendemeer Road,1,29-10-18
Bendemeer Road (Blk 4 3),1,29-10-18
Bendemeer Road (Blk 4 4),1,29-10-18
Gangsa Road (Blk 166),2,29-10-18
Petir Road (Blk 151),1,29-10-18
Hazel Park Terrace (Hazel Park Condominium),3,29-10-18
Pasir Ris Street 12 (Blk 103),1,29-10-18
Pasir Ris Street 12 (Blk 104),1,29-10-18
Pasir Ris Street 12 (Blk 105),1,29-10-18
Bedok Reservoir Road,1,29-10-18
Bedok Reservoir Road (Blk 1 32),1,29-10-18
Boon Lay Drive (Blk 1 76),1,29-10-18
Boon Lay Drive (Blk 1 80A),1,29-10-18
Lorong 20 Geylang,1,29-10-18
Lorong 20 Geylang (#1 Suite s),1,29-10-18
Balestier Road,2,02-11-18
Balestier Road (Twin Heights),2,02-11-18
Jalan Ampas,3,02-11-18
Jalan Ampas (The Viridian),2,02-11-18
Kim Keat Road (Rega l Court),1,02-11-18
Henderson Road (Blk 9 1),3,02-11-18
Henderson Road (Blk 9 2),1,02-11-18
Redhill Lane (Blk 82),4,02-11-18
Hazel Park Terrace (Hazel P ark Condominium),4,02-11-18
Edgefield Plains (Blk 11 4),1,02-11-18
Edgefield Plains (Blk 11 6),1,02-11-18
Edgefield Plains (Blk 11 7),1,02-11-18
Boon Lay Drive (Blk 1 76),1,02-11-18
Boon Lay Drive (Blk 1 80A),1,02-11-18
Choa Chu Kang North 5 (Blk 751),1,02-11-18
Choa Chu Kang North 5 (Blk 754),1,02-11-18
Ghim Moh Road (Blk 1 4),1,02-11-18
Ghim Moh Road (Blk 2 1),1,02-11-18
Lorong 20 Geylang,1,02-11-18
Lorong 20 Geylang (#1 Suite s),1,02-11-18
Nallur Road (Hua Xin Court),1,02-11-18
Upper East Coast Road (Eastern Lagoon),1,02-11-18
Balestier Road,2,05-11-18
Balestier Road (Ritz Mansions),1,05-11-18
Balestier Road (Twin Heights),2,05-11-18
Jalan Ampas,3,05-11-18
Jalan Ampas (The Viridian),2,05-11-18
Kim Keat Road (Rega l Court),1,05-11-18
Henderson Road (Blk 9 1),3,05-11-18
Henderson Road (Blk 9 2),1,05-11-18
Redhill Lane (Blk 82),4,05-11-18
Hazel Park Terrace (Hazel P ark Condominium),4,05-11-18
Edgefield Plains (Blk 11 4),1,05-11-18
Edgefield Plains (Blk 11 6),1,05-11-18
Edgefield Plains (Blk 11 7),1,05-11-18
Boon Lay Drive (Blk 1 76),1,05-11-18
Boon Lay Drive (Blk 1 80A),1,05-11-18
Choa Chu Kang North 5 (Blk 751),1,05-11-18
Choa Chu Kang North 5 (Blk 754),1,05-11-18
Ghim Moh Road (Blk 1 4),1,05-11-18
Ghim Moh Road (Blk 2 1),1,05-11-18
Nallur Road (Hua Xin Court),1,05-11-18
Upper East Coast Road (Eastern Lagoon),1,05-11-18
Edgedale Plains (Blk 120A),1,16-11-18
Edgefield Plains (Blk 112),1,16-11-18
Edgefield Plains (Blk 114),1,16-11-18
Edgefield Plains (Blk 116),2,16-11-18
Edgefield Plains (Blk 117),4,16-11-18
Edgefield Plains (Blk 118),1,16-11-18
Nallur Road,1,16-11-18
Nallur Road (Hua Xin Court),1,16-11-18
Upper East Coast Road,1,16-11-18
Mei Ling Street (Blk 157),1,16-11-18
Mei Ling Street (Blk 160),3,16-11-18
Cassia Crescent (Blk 52),1,16-11-18
Cassia,2,16-11-18
Lorong 20 Geylang,1,16-11-18
Lorong 22 Geylang,1,16-11-18
Lorong 20 Geylang (#1 Suites),1,16-11-18
Tampines Street 12 (Blk 158),2,16-11-18
Tampines Street 21 (Blk 248),1,16-11-18
Clementi Avenue 5 (Blk 341),1,16-11-18
Clementi Avenue 5 (Blk 381),1,16-11-18
Dunman Road,2,16-11-18
Yuan Ching Road (Lakeside Apartments),1,16-11-18
Jurong West Street 65 (Blk 618),2,16-11-18
Edgedale Plains (Blk 120A),1,19-11-18
Edgefield Plains (Blk 112),1,19-11-18
Edgefield Plains (Blk 114),1,19-11-18
Edgefield Plains (Blk 116),2,19-11-18
Edgefield Plains (Blk 117),4,19-11-18
Edgefield Plains (Blk 118),1,19-11-18
Nallur Road,1,19-11-18
Nallur Road (Hua Xin Court),1,19-11-18
Upper East Coast Road,1,19-11-18
Mei Ling Street (Blk 157),1,19-11-18
Mei Ling Street (Blk 160),3,19-11-18
Cassia Crescent (Blk 52),1,19-11-18
Cassia Crescent (Blk 54),2,19-11-18
Jurong West Street 65 (Blk 618),3,19-11-18
Lorong 20 Geylang,1,19-11-18
Lorong 22 Geylang,1,19-11-18
Lorong 20 Geylang (#1 Suites),1,19-11-18
North Bridge Road (Blk 467),2,19-11-18
North Bridge Road (Blk 468),1,19-11-18
Tampines Street 12 (Blk 158),2,19-11-18
Clementi Avenue 5 (Blk 341),1,19-11-18
Clementi Avenue 5 (Blk 381),1,19-11-18
Dunman Road,2,19-11-18
Ho Ching Road (Blk 119),1,19-11-18
Yuan Ching Road (Lakeside Apartments),1,19-11-18
Edgedale Plains (Blk 109C),1,23-11-18
Edgedale Plains (Blk 120A),2,23-11-18
Edgefield Plains (Blk 112),2,23-11-18
Edgefield Plains (Blk 114),2,23-11-18
Edgefield Plains (Blk 116),2,23-11-18
Edgefield Plains (Blk 117),4,23-11-18
Edgefield Plains (Blk 118),2,23-11-18
Nallur Road,1,23-11-18
Nallur Road (Hua Xin Court),1,23-11-18
Upper East Coast Road (Eastern Lagoon),3,23-11-18
Cassia Crescent (Blk 52),1,23-11-18
Cassia Crescent (Blk 54),3,23-11-18
Jurong West Street 65 (Blk 618),4,23-11-18
Choa Chu Kang North 5 (Blk 751),1,23-11-18
Choa Chu Kang North 5 (Blk 754),1,23-11-18
Choa Chu Kang North 5 (Blk 760),1,23-11-18
Lorong 20 Geylang,1,23-11-18
Lorong 22 Geylang,1,23-11-18
Lorong 20 Geylang (#1 Suites),1,23-11-18
Siglap Road (Mandarin Gardens),3,23-11-18
Tampines Street 21 (Blk 248),1,23-11-18
Ang Mo Kio Avenue 3 (Blk 343),1,23-11-18
Ang Mo Kio Avenue 3 (Blk 344),1,23-11-18
Fernvale Road (Blk 453C),1,23-11-18
Sengkang West Way (Blk 452A),1,23-11-18
Ho Ching Road (Blk 119),1,23-11-18
