Location,No. of Cases,Date
Pandan Gardens (Blk 404),3,14/01/2019
Pandan Gardens (Blk 405),1,14/01/2019
Pandan Gardens (Blk 409),3,14/01/2019
Pandan Gardens (Blk 411),7,14/01/2019
Pandan Gardens (Blk 413),1,14/01/2019
Pandan Gardens (Blk 414),20,14/01/2019
Kaki Bukit Avenue 2,1,14/01/2019
Kaki Bukit Avenue 3,1,14/01/2019
Kaki Bukit Industrial Terrace,20,14/01/2019
Kaki Bukit Place,2,14/01/2019
Kaki Bukit Road 3,3,14/01/2019
Jurong West Street 93 (Blk 977),1,14/01/2019
Yunnan Crescent,4,14/01/2019
Yunnan Drive 1,5,14/01/2019
Yunnan Drive 3,4,14/01/2019
Yunnan Road,5,14/01/2019
Yunnan Walk 1,2,14/01/2019
Yunnan Walk 2,1,14/01/2019
Gangsa Road (Blk 153),4,14/01/2019
Gangsa Road (Blk 154),3,14/01/2019
Gangsa Road (Blk 155),1,14/01/2019
Hazel Park Terrace (Hazel Park Condominium),3,14/01/2019
Hougang Avenue 5 (Blk 308),3,14/01/2019
Hougang Avenue 5 (Blk 310),9,14/01/2019
Hougang Avenue 5 (Blk 319),1,14/01/2019
Hougang Avenue 5 (Blk 320),1,14/01/2019
Hougang Avenue 5 (Blk 322),1,14/01/2019
Hougang Avenue 5 (Blk 324),1,14/01/2019
Alexandra Road (The Anchorage),8,14/01/2019
Barbary Walk,1,14/01/2019
Queensway (Blk 168A),3,14/01/2019
Stirling Road (Blk 171),1,14/01/2019
Jurong West Street 91 (Blk 909),1,14/01/2019
Jurong West Street 91 (Blk 910),1,14/01/2019
Jurong West Street 91 (Blk 913),2,14/01/2019
Jurong West Street 91 (Blk 914),3,14/01/2019
Jurong West Street 91 (Blk 934),1,14/01/2019
Jurong West Street 91 (Blk 940),1,14/01/2019
Jurong West Street 91 (Blk 947),1,14/01/2019
Jurong West Street 92 (Blk 932),1,14/01/2019
Jalan Damai (Blk 664),1,14/01/2019
Jalan Damai (Blk 665),1,14/01/2019
Jalan Damai (Blk 667),2,14/01/2019
Jalan Tenaga (Blk 651),1,14/01/2019
Jalan Tenaga (Blk 654),2,14/01/2019
Jalan Tenaga (Blk 655),1,14/01/2019
Jalan Tenaga (Blk 658),1,14/01/2019
Hougang Avenue 6 (Blk 524),2,14/01/2019
Hougang Avenue 6 (Blk 527),2,14/01/2019
Hougang Avenue 6 (Blk 528),1,14/01/2019
Hougang Avenue 6 (Blk 529),1,14/01/2019
Hougang Avenue 6 (Blk 530),1,14/01/2019
Hougang Avenue 6 (Blk 531),2,14/01/2019
Bedok Avenue,1,14/01/2019
Bedok Garden,2,14/01/2019
Bedok Road,1,14/01/2019
Bedok Road (Country Park Condominium),1,14/01/2019
Jalan Bilal,1,14/01/2019
Jalan Kathi,1,14/01/2019
Jalan Selamat,3,14/01/2019
Jalan Senyum,1,14/01/2019
Woodlands Crescent (Blk 776),1,14/01/2019
Woodlands Crescent (Blk 777),2,14/01/2019
Woodlands Crescent (Blk 780A),1,14/01/2019
Woodlands Drive 60 (Blk 778),3,14/01/2019
Yishun Avenue 4 (Blk 508B),1,14/01/2019
Yishun Street 81 (Blk 865),1,14/01/2019
Yishun Street 81 (Blk 866),1,14/01/2019
Yishun Street 81 (Blk 867),1,14/01/2019
Yishun Street 81 (Blk 868),3,14/01/2019
